Domain,Area,Element,Item,Year,Value
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","3855.781371"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","3825.160018"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","3794.111045"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","3762.552438"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","3730.445441"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","3702.144766"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","3667.562966"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","3632.277615"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","3596.290804"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","4405.506898"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","3523.560523"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","3099.428238"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","2050.190216"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","2319.351089"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","2120.661426"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","1305.022416"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","652.511208"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","1957.533624"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","1957.533624"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","2061.935417"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","2260.951336"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","1607.135105"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","1323.085665"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","1277.124055"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","1535.73882"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","832.930557"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","685.136768"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","672.4128"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","773.225781"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","652.511208"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","730.812553"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","835.214346"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","913.515691"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","1148.419726"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","1076.643493"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","1305.022416"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","1794.405822"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","1696.529141"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","1827.031382"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","1957.533624"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","2936.300436"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","2610.044832"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","3066.802678"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","3132.053798"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","3523.560523"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","3001.551557"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","4110.82061"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","4502.327335"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","3915.067248"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","4306.573973"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","4534.952896"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","3229.93048"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","4371.825094"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","4926.45962"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","3327.807161"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","3588.811644"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","4208.697292"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","4339.199533"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","4241.322852"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","1233.898694"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","979.093068"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","984.313157"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","722.982418"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","717.762329"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","848.26457"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","913.515691"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","1109.269054"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","1435.524658"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","1598.65246"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","1696.529141"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","1197.358067"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","1370.273537"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","1468.150218"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","1875.969723"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","2163.40091"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","2316.414788"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","2975.451108"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","3153.380959"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","1344.173088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","2723.259195"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","3283.110143"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","2978.871572"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","3516.709156"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","81890.156604"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","89987.820695"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","92004.080328"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","104705.210992"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","93223.623776"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","92007.342884"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","92094.45313"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","96553.38847"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","112677.919187"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","117578.604614"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","112899.446742"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","116569.496031"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","111870.762822"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","114343.127789"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","109811.111194"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","117132.939459"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","111883.486791"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","92880.40288"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","96984.045867"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","91567.224074"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","74907.634167"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","65559.10609"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","52800.228185"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","59684.221429"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","55425.933286"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","54561.355935"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","59792.864545"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","67854.64052"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","57623.264778"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","59975.567683"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","72417.325142"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","82195.858105"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","81512.352615"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","82502.864628"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","73967.365516"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","77232.531601"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","79372.768364"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","91479.787572"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","100274.333634"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","97740.632613"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","106712.661723"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","118264.393894"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","127034.797041"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","136097.525209"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","141998.184063"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","154792.950085"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","160163.769838"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","164103.632512"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","204265.697364"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","190042.584308"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","265813.490803"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","261825.668555"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","290587.383837"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","311641.375726"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","327912.656213"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","291269.258049"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","330807.195931"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","370037.23857"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","169979.169684"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","169000.402872"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","161985.907386"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","172262.958912"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","137027.35368"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","200320.940856"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","208934.088802"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","222506.321928"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","267692.723082"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","282080.595218"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","322993.04796"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","244691.703"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","255392.886811"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","271770.918132"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","237840.335316"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","242407.913772"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","241429.14696"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","218591.25468"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","230336.456424"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","229683.945216"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","217938.743472"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","197710.896024"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","208477.330956"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","202408.976722"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","202539.478963"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","203322.492413"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","209586.60001"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","212131.393721"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","222114.815203"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","211511.508073"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","252489.211936"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","241102.891356"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","231282.597676"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","243574.603812"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","247985.905834"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","164572.78807"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","299653.048305"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","320981.02965"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","230388.331065"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","256794.480886"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","299598.56362"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","250190.41495"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","224250.484387"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","251216.81508"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","289020.378171"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","322993.04796"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","261004.4832"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","307509.28325"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","293216.351494"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","271929.478356"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","368692.975435"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","304568.08898"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","280498.90805"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","333523.273835"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","326682.672586"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","336841.293327"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","334411.9941"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","328467.29074"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","58018.686571"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","58018.686571"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","66110.478061"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","62048.595791"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","76970.874607"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","64902.353559"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","75839.746428"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","69939.413829"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","86080.909837"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","76457.022031"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","105192.636864"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","94944.948342"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","114810.65207"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","101150.982442"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","111266.863699"
"Value of Agricultural Production","Australia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","117948.578469"
